matID,rows,nnzs,mkl_seq,mkl_par,cusparse_v1,cusparse_v2_lvl,cusparse_v2_nolvl,syncfree
1571,23948,113332,0.181335,0.334856,0.0362176,0.0756192,0.069424,0.0216
355,24696,304233,0.352833,0.664289,1.00827,1.38748,1.48603,0.2975
352,24696,887937,1.0741,1.55636,3.44076,3.95634,2.18092,1.255
1874,24842,93504,0.226509,0.402173,0.138368,0.0682048,0.06512,0.0443
1234,24993,59979,0.0974329,0.175897,0.0121952,0.033584,0.0363424,0.0191
1111,25187,101190,0.30629,0.671992,0.431722,0.613584,0.550813,0.0857
1110,25187,101214,0.307853,0.564043,0.484832,0.649494,0.595453,0.0854
1109,25187,101214,0.308042,0.544189,0.43065,0.649043,0.640304,0.0856
289,25228,91150,0.150236,0.321745,1.67466,5.67978,5.7004,0.9899
347,25503,26263,0.0663088,0.13958,0.020624,0.03656,0.0383968,0.0198
342,25503,583240,0.780017,1.02664,9.04577,12.8304,9.82148,7.2028
2235,25626,6733882,10.9434,11.0705,1.0455,0.323526,0.482406,0.4319
1909,25710,1889447,3.83151,3.79464,13.967,23.227,10.9775,8.6859
832,26064,101616,0.153319,0.367999,0.289238,1.30841,1.90772,0.2234
833,26068,101632,0.150589,0.290493,0.292429,1.26117,1.8604,0.223
585,27449,105927,0.1695,0.295576,2.11864,3.96023,4.69556,0.6453
584,27449,105927,0.16956,1.44201,2.12421,4.29135,4.93312,0.6455
575,27534,132125,0.185806,0.461072,4.21996,7.79535,4.72187,2.0114
574,27534,132125,0.187301,0.326171,4.27847,7.63922,4.73159,2.0144
1298,27607,110401,0.153242,0.316029,0.022192,0.049824,0.0511872,0.2177
954,27628,235351,0.40393,0.78774,2.49934,3.22248,3.04876,0.794
1299,27792,112961,0.153672,0.278952,0.0165184,0.0363296,0.0399232,0.0227
2229,28216,389697,0.444694,1.02292,0.129142,0.302346,0.321325,0.2702
2238,28338,2914479,3.84951,4.58488,0.953133,0.525338,1.4506,0.5103
956,28984,317668,0.39672,0.651606,0.956854,1.2226,1.93709,0.5752
931,29067,1055066,1.59885,1.7366,1.14099,1.39372,1.12199,0.35
2224,29214,2225387,3.56843,3.91452,0.755718,1.28572,1.01991,0.6642
2220,29214,2225387,3.66438,3.76902,0.75505,1.28254,1.02227,0.6647
